test_id,title,area,verdict,error_type,attribution,device_steps,states_visited,distinct_states,duration_s,requirement_ids,route,error_message,created_at
TC-011,Verify location permission denial allows browsing discovery home without crash,,pass,,pass,10,11,6,166.2,,বিক্রেতার প্রোফাইল -> ফিরে যান -> বিক্রেতার প্রোফাইল -> ফিরে যান #5 -> বিক্রেতার প্রোফাইল -> সবার খামার -> Seller Tester -> খামারের তথ্য আপডেট -> সবার খামার -> বিক্রেতার প্রোফাইল,,2026-08-30T16:01:46.130000+00:00
TC-012,Verify Search Entry Point Accepts Free Text and Displays Results or Empty State,,pass,,pass,7,8,3,199.6,,বিক্রেতার প্রোফাইল -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার,,2026-08-30T16:05:22.074990+00:00
TC-013,Verify Location Selector Updates Discovery Results and Prevents Concurrent Requests,,failed,PRECONDITION_NOT_MET,environment,18,18,6,405.2,,খোরশেদ গরুর খামার -> বিক্রেতার প্রোফাইল -> স্ক্রিম #2 -> বিক্রেতার প্রোফাইল -> স্ক্রিম #2 -> বিক্রেতার প্রোফাইল -> Seller Tester -> সবার খামার #2 -> বিক্রেতার প্রোফাইল -> Seller Tester #3 -> স্ক্রিম #2 -> Seller Tester #3,,2026-08-30T16:13:13.797737+00:00
TC-014,Verify Search Functionality Handles Boundary Input (Empty/Whitespace) and Invalid Queries Gracefully,,pass,,pass,10,11,4,161.0,,Seller Tester #3 -> সবার খামার -> ফিরে যান -> সবার খামার -> খোরশেদ গরুর খামার,,2026-08-30T16:16:12.502087+00:00
TC-015,Verify pagination or lazy loading works correctly in the livestock discovery list,,failed,CRASH,app,50,50,3,900.1,,খোরশেদ গরুর খামার -> ফিরে যান -> সবার খামার -> ফিরে যান -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার,,2026-08-30T16:31:34.982653+00:00
TC-016,Verify 'Seller Tester' Profile Screen Stability and Data Integrity After Navigation Loop,,failed,NAVIGATION_LIVELOCK,agent,14,14,5,211.1,,খোরশেদ গরুর খামার -> রোগের তালিকা -> Seller Tester #3 -> Seller Tester -> সেটিংস -> Seller Tester #3 -> Seller Tester -> সেটিংস -> Seller Tester #3 -> Seller Tester -> সেটিংস -> Seller Tester #3,,2026-08-30T16:35:41.212511+00:00
TC-017,Verify Notification Unread Count Updates and Deep Link Navigation Stability,,pass,,pass,8,7,5,129.0,,Seller Tester -> সেটিংস -> Main -> বিক্রেতার প্রোফাইল -> নোটিফিকেশন -> বিক্রেতার প্রোফাইল,,2026-08-30T16:38:20.357045+00:00
TC-018,Verify Seller Order List Navigation and Empty State Handling,,failed,NAVIGATION_LIVELOCK,agent,20,20,4,263.6,,Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> ফিরে যান -> বিক্রেতার প্রোফাইল -> ফিরে যান -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> ফিরে যান -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> ফিরে যান -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট,,2026-08-30T16:43:09.506076+00:00
TC-019,Verify Search Input Handling for Extreme Lengths and Special Characters,,pass,,pass,34,24,7,487.5,,বিক্রেতার প্রোফাইল -> সবার খামার #2 -> বিক্রেতার প্রোফাইল -> সবার খামার -> খারিজ করুন -> সবার খামার -> Main -> বিক্রেতার প্রোফাইল -> সবার খামার -> বিক্রেতার প্রোফাইল -> সবার খামার -> আমার অর্ডারসমূহ -> Main -> বিক্রেতার প্রোফাইল -> সবার খামার -> খোরশেদ গরুর খামার -> সবার খামার -> খোরশেদ গরুর খামার,,2026-08-30T16:51:53.006725+00:00
TC-020,Verify Order Status Update Workflow and Data Integrity for Seller,,failed,NAVIGATION_LIVELOCK,agent,21,21,6,312.0,,খোরশেদ গরুর খামার -> সবার খামার -> Seller Tester -> খামারের তথ্য আপডেট -> সবার খামার -> আমার অর্ডারসমূহ -> Seller Tester -> খামারের তথ্য আপডেট -> আমার অর্ডারসমূহ -> Seller Tester -> খামারের তথ্য আপডেট -> আমার অর্ডারসমূহ -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট,,2026-08-30T16:57:26.429837+00:00
TC-021,Verify Seller Order List Accessibility and Empty State Handling via Trust Dairy Farm Dashboard,,failed,NAVIGATION_LIVELOCK,agent,45,45,12,836.7,,বিক্রেতার প্রোফাইল -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> পণ্যের বিবরণ -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> ফিরে যান -> স্ক্রিম #3 -> ফিরে যান #6 -> ফিরে যান #7 -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> আমার অর্ডারসমূহ -> বিক্রেতার প্রোফাইল -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> ফিরে যান #4 -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> স্ক্রিম #2 -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm,,2026-08-30T17:11:40.078375+00:00
TC-022,Verify Disease Information List Accessibility and Detail Navigation from Menu,,pass,,pass,11,12,6,158.7,,আমার গবাদিপশু -> Trust Dairy Farm -> রোগের তালিকা -> Main #2 -> Main #3 -> Main #2 -> রোগের তালিকা -> Main #4,,2026-08-30T17:14:45.658031+00:00
TC-023,Verify Product Detail View Accessibility and Data Integrity from Discovery List,,pass,,pass,9,10,6,218.2,,Main #4 -> রোগের তালিকা -> Trust Dairy Farm -> ফিরে যান -> ফিরে যান #2 -> ফিরে যান #3 -> ফিরে যান,,2026-08-30T17:18:43.375029+00:00
TC-024,Verify Settings Menu Filtering and Navigation Stability for Seller Role,,pass,,pass,5,6,4,141.7,,ফিরে যান -> Trust Dairy Farm -> Seller Tester -> সেটিংস -> Trust Dairy Farm,,2026-08-30T17:22:04.919991+00:00
TC-025,Verify Search Input Handling for SQL Injection and XSS Patterns,,pass,,pass,9,10,3,157.5,,Trust Dairy Farm -> ফিরে যান -> খোরশেদ গরুর খামার -> ফিরে যান -> খোরশেদ গরুর খামার -> ফিরে যান,,2026-08-30T17:25:12.103013+00:00
